body,brand,cit,color,gear,price,usage,year
بدون رنگ,پژو 206 تیپ ۲,تهران، آذربایجان,سفید,دنده‌ای,۷۸٫۸۰۰٫۰۰۰ تومان,۸۰٫۰۰۰,۲۰۱۶ - ۱۳۹۵
بدون رنگ,پژو 206 تیپ ۲,تهران، سید خندان,سفید,دنده‌ای,۹۰٫۵۰۰٫۰۰۰ تومان,۰,۲۰۱۹ - ۱۳۹۸
,پژو 206 تیپ ۲,تبریز,۴٫۸۰۰,,,,۲۰۰۴ - ۱۳۸۳
بدون رنگ,پژو 206 تیپ ۲,تبریز,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
دنده‌ای,پژو 206 تیپ ۲,مشهد، قوچان,دو لکه رنگ,۴۵٫۰۰۰٫۰۰۰ تومان,۱۹۰٫۰۰۰,,۲۰۰۷ - ۱۳۸۶
دو لکه رنگ,پژو 206 تیپ ۲,مشهد، معلم,سفید,دنده‌ای,۴۸٫۵۰۰٫۰۰۰ تومان,۱۵۰٫۰۰۰,۲۰۰۸ - ۱۳۸۷
یک لکه رنگ,پژو 206 تیپ ۲,رشت,نقره‌ای,دنده‌ای,۴۵٫۰۰۰٫۰۰۰ تومان,۲۸۰٫۰۰۰,۲۰۰۶ - ۱۳۸۵
چند لکه رنگ,پژو 206 تیپ ۲,رشت,نقره‌ای,دنده‌ای,۳۰۰,,۲۰۰۴ - ۱۳۸۳
چند لکه رنگ,پژو 206 تیپ ۲,رشت,مشکی,دنده‌ای,صندلی کودک,۲۰٫۰۰۰,۲۰۰۵ - ۱۳۸۴
بدون رنگ,پژو 206 تیپ ۲,رشت,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
چند لکه رنگ,پژو 206 تیپ ۲,رشت,بژ,دنده‌ای,۳۳٫۰۰۰٫۰۰۰ تومان,۳۵۰٫۰۰۰,۲۰۰۴ - ۱۳۸۳
دو لکه رنگ,پژو 206 تیپ ۲,رشت,نوک‌مدادی,دنده‌ای,کولر دوال ، ترمز دستی برقی,۲۴۸٫۰۰۰,۲۰۰۷ - ۱۳۸۶
بدون رنگ,پژو 206 تیپ ۲,رشت,نقدی,دنده‌ای,توافقی,۵۵٫۰۰۰,۲۰۱۷ - ۱۳۹۶
بدون رنگ,پژو 206 تیپ ۲,رشت,بادمجانی,دنده‌ای,هستم,۱۷۰٫۰۰۰,۲۰۱۱ - ۱۳۹۰
,,,,,,,
۵۵٫۰۰۰٫۰۰۰ تومان,پژو 206 تیپ ۲,رشت,دنده‌ای,۱۶۹٫۰۰۰,,,۲۰۰۹ - ۱۳۸۸
,,,,,,,
,پژو 206 تیپ ۲,رشت,۲۹۰٫۰۰۰,,,,۲۰۰۶ - ۱۳۸۵
بدون رنگ,پژو 206 تیپ ۲,رشت,سفید,دنده‌ای,۱۸۰٫۰۰۰,,۲۰۱۲ - ۱۳۹۱
چند لکه رنگ,پژو 206 تیپ ۲,رشت,بژ,دنده‌ای,۳۵٫۰۰۰٫۰۰۰ تومان,۲۲۱,۲۰۰۵ - ۱۳۸۴
توافقی,پژو 206 تیپ ۲,اهواز، پادادشهر,تک برگی,۰,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,پژو 206 تیپ ۲,اهواز، کیانپارس,نقره‌ای,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
۴,پژو 206 تیپ ۲,اهواز، کیانپارس,توافقی,,,,۲۰۱۹ - ۱۳۹۸
,,,,,,,
بدون رنگ,پژو 206 تیپ ۲,اهواز، کیانپارس,سفید,دنده‌ای,۷۹٫۰۰۰٫۰۰۰ تومان,۵۸٫۰۰۰,۲۰۱۶ - ۱۳۹۵
چند لکه رنگ,پژو 206 تیپ ۲,اهواز، فولادشهر,آبی,دنده‌ای,۴۲٫۵۰۰٫۰۰۰ تومان,دی لایت,۲۰۰۳ - ۱۳۸۲
دنده‌ای,پژو 206 تیپ ۲,رشت,چند لکه رنگ,۵۲٫۰۰۰٫۰۰۰ تومان,۲۱۹٫۰۰۰,,۲۰۱۰ - ۱۳۸۹
یک لکه رنگ,پژو 206 تیپ ۲,اهواز، زیتون کارگری,نقره‌ای,دنده‌ای,۴۶٫۰۰۰٫۰۰۰ تومان,صندلی کودک,۲۰۰۶ - ۱۳۸۵
دو لکه رنگ,پژو 206 تیپ ۲,اهواز، نادری,سفید,دنده‌ای,۶۴٫۸۰۰٫۰۰۰ تومان,۱,۲۰۱۵ - ۱۳۹۴
,,,,,,,
,پژو 206 تیپ ۲,اهواز، باهنر,,,,,۲۰۱۹ - ۱۳۹۸
