body,brand,cit,color,gear,price,usage,year
یک لکه رنگ,دنا معمولی 1700cc,تبریز,سفید,دنده‌ای,۱۰۳٫۰۰۰٫۰۰۰ تومان,۸۰٫۰۰۰,۲۰۱۶ - ۱۳۹۵
دنده‌ای,دنا معمولی 1700cc,تبریز,بدون رنگ,۱۲۵٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کروز کنترل ، صندلی برقی ، آینه تاشو برقی ، کول باکس,۳۰٫۰۰۰,۲۰۱۸ - ۱۳۹۷
دنده‌ای,دنا معمولی 1700cc,اصفهان، سپاهان شهر,بدون رنگ,۱۱۶٫۸۰۰٫۰۰۰ تومان,۴۲٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
,,,,,,,
بدون رنگ,دنا معمولی 1700cc,تهران، نارمک,نقدی و قسطی,دنده‌ای,توافقی,۰,۲۰۱۸ - ۱۳۹۷
دو لکه رنگ,دنا معمولی 1700cc,تهران، ازگل,خاکستری,دنده‌ای,۱۲۰٫۰۰۰٫۰۰۰ تومان,۲۲٫۰۰۰,۲۰۱۸ - ۱۳۹۷
بدون رنگ,دنا معمولی 1700cc,تهران، صادقیه,سفید,دنده‌ای,۱۲۰٫۰۰۰٫۰۰۰ تومان,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی,کرج، جهانشهر,سفید,دنده‌ای,۱۱۴٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کروز کنترل ، رادار ، صندلی برقی ، آینه تاشو برقی,۲۰۱۷ - ۱۳۹۶
بدون رنگ,دنا معمولی 1700cc,تهران، زهتابی,مشکی,دنده‌ای,۱۱۲٫۰۰۰٫۰۰۰ تومان,۲۹٫۰۰۰,۲۰۱۷ - ۱۳۹۶
بدون رنگ,دنا معمولی 1700cc,تهران، ولنجک,سفید,دنده‌ای,۱۳٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
دنده‌ای,دنا معمولی 1700cc,تهران، سید خندان,بدون رنگ,توافقی,۰,,۲۰۱۹ - ۱۳۹۸
دنده‌ای,دنا معمولی 1700cc,تهران، آرژانتین,بدون رنگ,توافقی,۰,,۲۰۱۹ - ۱۳۹۸
دو لکه رنگ,دنا معمولی 1700cc,تهران، آهنگ,سفید,دنده‌ای,۱۰۸٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، کروز کنترل ، صندلی برقی ، آینه تاشو برقی,۲۰۱۷ - ۱۳۹۶
دنده‌ای,دنا معمولی,تهران، آذربایجان,سفید,۱۱٫۱۱۱٫۱۱۱ تومان,۰,,۲۰۱۹ - ۱۳۹۸
۳۰۱,دنا معمولی 1700cc,تهران، پرند,سنسور عقب و جلو ، کولر دوال ، صندلی کودک ، صندلی برقی ، آینه تاشو برقی,,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,تهران، توحید,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,تهران، کوهک,مشکی,دنده‌ای,۱۱۴٫۰۰۰٫۰۰۰ تومان,کروز کنترل ، صندلی برقی ، آینه تاشو برقی,۲۰۱۷ - ۱۳۹۶
دو لکه رنگ,دنا معمولی 1700cc,تهران، علم و صنعت,نقره‌ای,دنده‌ای,۹۵٫۴۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کولر دوال ، کروز کنترل ، دی لایت ، صندلی برقی ، آینه تاشو برقی,۲۰۱۶ - ۱۳۹۵
نقدی و قسطی,فروشی,تهران، فاطمی,خاکستری,بدون رنگ,دنده‌ای,توافقی,دنا معمولی 1700cc
نقدی,فروشی,تهران، جمال‌زاده,مشکی,بدون رنگ,دنده‌ای,توافقی,دنا معمولی 1700cc
بدون رنگ,دنا معمولی,تهران، ستارخان,سفید,دنده‌ای,۱۲۹٫۰۰۰٫۰۰۰ تومان,۰,۲۰۱۹ - ۱۳۹۸
توافقی,دنا معمولی 1700cc,تهران، آرژانتین,دنده‌ای,۰,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی,تهران، فاطمی,سرمه‌ای,دنده‌ای,۱۲۶٫۰۰۰٫۰۰۰ تومان,صندلی برقی ، آینه تاشو برقی,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,تهران، میدان آزادی,سفید,دنده‌ای,۸۰٫۰۰۰٫۰۰۰ تومان,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,تهران، صادقیه,نقدی,دنده‌ای,توافقی,سنسور عقب و جلو ، صندلی برقی ، آینه تاشو برقی ، ترمز دستی برقی,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,تهران، مجیدیه,آبی,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
دنده‌ای,دنا معمولی 1700cc,تهران، نارمک,بدون رنگ,۷۰٫۰۰۰٫۰۰۰ تومان,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,فروشی,تهران، قلهک,نقدی و قسطی,دنده‌ای,توافقی,۰,دنا معمولی 1700cc
۰,فروشی,تهران، نارمک,توافقی,,,,دنا معمولی 1700cc
بدون رنگ,دنا معمولی 1700cc,تهران، صادقیه,نقدی,دنده‌ای,توافقی,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,فروشی,تهران، قلهک,نقدی و قسطی,دنده‌ای,توافقی,۰,دنا معمولی 1700cc
بدون رنگ,دنا معمولی,کرمانشاه,سفید,دنده‌ای,۱۲۵٫۰۰۰٫۰۰۰ تومان,کولر دوال ، دی لایت ، آینه تاشو برقی ، ترمز دستی برقی,۲۰۱۹ - ۱۳۹۸
بدون رنگ,فروشی,تهران، قلهک,نقدی و قسطی,دنده‌ای,توافقی,۰,دنا معمولی 1700cc
بدون رنگ,دنا معمولی,کرمانشاه,سفید,دنده‌ای,۱۲۴٫۰۰۰٫۰۰۰ تومان,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی,تهران، نارمک,نقدی,دنده‌ای,توافقی,سنسور عقب و جلو ، کولر دوال ، دی لایت ، صندلی برقی ، آینه تاشو برقی,۲۰۱۹ - ۱۳۹۸
چند لکه رنگ,دنا معمولی,کرمانشاه,قهوه‌ای,دنده‌ای,۹۲٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کولر دوال ، کروز کنترل ، صندلی کودک ، صندلی برقی ، آینه تاشو برقی ، کول باکس ، دوربین 360 درجه,۲۰۱۶ - ۱۳۹۵
