body,brand,cit,color,gear,price,usage,year
دنده‌ای,جک S5 دنده‌ای,قم، انسجام,بدون رنگ,۱۹۰٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، سانروف ، کولر دوال ، دی لایت ، آینه تاشو برقی ، دوربین 360 درجه,۱۰۰٫۰۰۰,۲۰۱۵ - ۱۳۹۴
بدون رنگ,جک S5 اتوماتیک,قم، زنبیل‌آباد (شهید صدوقی),سفید,اتوماتیک,۲۸۰٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، کروز کنترل ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی,۲۰۱۸ - ۱۳۹۷
بدون رنگ,جک S5 دنده‌ای,کرمانشاه,سفید,دنده‌ای,۲۴۰٫۰۰۰٫۰۰۰ تومان,۲۷٫۰۰۰,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 اتوماتیک,قم، پردیسان,سفید,اتوماتیک,۲۵۰٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، سانروف ، اتو هلد ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی,۲۰۱۶ - ۱۳۹۵
بدون رنگ,جک S5 اتوماتیک,تهران، سرسبز,نقدی و قسطی,اتوماتیک,توافقی,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 اتوماتیک,رشت,مشکی,اتوماتیک,۲۸۵٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، رادار ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، کول باکس ، ترمز دستی برقی,۲۰۱۸ - ۱۳۹۷
,جک S5 اتوماتیک,کرج، عظیمیه,۰,,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 اتوماتیک,کرج، کمالشهر,سفید,اتوماتیک,۲۸۳٫۰۰۰٫۰۰۰ تومان,۱۶٫۰۰۰,۲۰۱۸ - ۱۳۹۷
۵۰٫۰۰۰,جک S5 اتوماتیک,مشهد، پیروزی,۲۷۲٫۰۰۰٫۰۰۰ تومان,,,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,جک S5 دنده‌ای,مشهد، مطهری شمالی,سفید,دنده‌ای,۲۱۷٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سانروف ، کولر دوال ، آینه تاشو برقی,۲۰۱۶ - ۱۳۹۵
توافقی,جک S5 اتوماتیک,تبریز,اتوماتیک,۰,,,۲۰۱۹ - ۱۳۹۸
۲۰۸٫۰۰۰٫۰۰۰ تومان,جک S5 دنده‌ای,تبریز,دنده‌ای,۹۹٫۳۰۰,,,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 دنده‌ای,تبریز,خاکستری,دنده‌ای,۲۲۵٫۰۰۰٫۰۰۰ تومان,۵۲٫۰۰۰,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 دنده‌ای,تبریز,سفید,دنده‌ای,۲۱۲٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، آینه تاشو برقی ، کول باکس ، دوربین 360 درجه,۲۰۱۵ - ۱۳۹۴
بدون رنگ,جک S5 اتوماتیک,تبریز,مشکی,اتوماتیک,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 اتوماتیک,تبریز,سفید,اتوماتیک,۲۹۲٫۵۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، اتو هلد ، دی لایت ، صندلی کودک ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، کول باکس ، ترمز دستی برقی,۲۰۱۸ - ۱۳۹۷
بدون رنگ,جک S5 اتوماتیک,تبریز,نقدی,اتوماتیک,توافقی,سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، کروز کنترل ، اتو هلد ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، کول باکس ، ترمز دستی برقی,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 اتوماتیک,تبریز,سفید,اتوماتیک,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی,۴۰۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 دنده‌ای,تبریز,نوک‌مدادی,دنده‌ای,۱۹۷٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سانروف ، کولر دوال ، کروز کنترل ، صندلی کودک ، آینه تاشو برقی ، کول باکس ، دوربین 360 درجه,۲۰۱۵ - ۱۳۹۴
نقدی,فروشی,تبریز,سفید,بدون رنگ,اتوماتیک,توافقی,جک S5 اتوماتیک
بدون رنگ,جک S5 اتوماتیک,تبریز,مشکی,اتوماتیک,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,جک S5 اتوماتیک,تبریز,سفید,اتوماتیک,۲۷۵٫۰۰۰٫۰۰۰ تومان,سانروف ، دی لایت,۲۰۱۷ - ۱۳۹۶
یک لکه رنگ,جک S5 دنده‌ای,تبریز,سفید,دنده‌ای,۱۹۱٫۰۰۰٫۰۰۰ تومان,۸۸٫۵۰۰,۲۰۱۵ - ۱۳۹۴
نقدی و قسطی,فروشی,کرج، مهرویلا,مشکی,بدون رنگ,اتوماتیک,۲۹۵٫۰۰۰٫۰۰۰ تومان,جک S5 اتوماتیک
نقدی و قسطی,فروشی,کرج، مهرویلا,مشکی,بدون رنگ,اتوماتیک,۳٫۰۰۰,جک S5 اتوماتیک
نقدی و قسطی,فروشی,کرج، مهرویلا,سفید,بدون رنگ,اتوماتیک,توافقی,جک S5 اتوماتیک
نقدی و قسطی,فروشی,کرج، مهرویلا,سفید,بدون رنگ,اتوماتیک,توافقی,جک S5 اتوماتیک
,,,,,,,
یک لکه رنگ,جک S5 اتوماتیک,کرج، فردیس,مشکی,اتوماتیک,۲۳۵٫۰۰۰٫۰۰۰ تومان,۷۰٫۰۰۰,۲۰۱۶ - ۱۳۹۵
نقدی و قسطی,فروشی,کرج، مهرویلا,سفید,بدون رنگ,اتوماتیک,۲۶۸٫۰۰۰٫۰۰۰ تومان,جک S5 اتوماتیک
نقدی و قسطی,فروشی,کرج، مهرویلا,سفید,بدون رنگ,دنده‌ای,۵۸٫۰۰۰,جک S5 دنده‌ای
نقدی و قسطی,فروشی,کرج، مهرویلا,سفید,بدون رنگ,دنده‌ای,۶۷٫۰۰۰,جک S5 دنده‌ای
بدون رنگ,جک S5 اتوماتیک,کرج، گوهردشت,سفید,اتوماتیک,۲۷۰٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 اتوماتیک,کرج، آزادگان,سفید,اتوماتیک,۲۷۰٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، سانروف ، کروز کنترل ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 اتوماتیک,کرج، شهر جدید اندیشه,سفید,اتوماتیک,۲۸۰٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی,۲۰۱۸ - ۱۳۹۷
اتوماتیک,جک S5 اتوماتیک,کرج، شهر جدید اندیشه,بدون رنگ,توافقی,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، اتو هلد ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی ، دوربین 360 درجه,۷۶٫۰۰۰,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 دنده‌ای,کرج، فردیس,سفید,دنده‌ای,۲۵۵٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سانروف ، صندلی برقی ، آینه تاشو برقی,۲۰۱۸ - ۱۳۹۷
بدون رنگ,جک S5 اتوماتیک,تبریز,سفید,اتوماتیک,۲۹۲٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، اتو هلد ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی ، دوربین 360 درجه,۲۰۱۸ - ۱۳۹۷
بدون رنگ,جک S5 دنده‌ای,تبریز,سفید,دنده‌ای,۲۰۵٫۰۰۰٫۰۰۰ تومان,سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، کروز کنترل ، اتو هلد ، دی لایت ، آینه تاشو برقی ، ترمز دستی برقی ، دوربین 360 درجه,۲۰۱۵ - ۱۳۹۴
نقدی و قسطی,فروشی,کرج، مهرویلا,سفید,بدون رنگ,اتوماتیک,۲۸۵٫۰۰۰٫۰۰۰ تومان,جک S5 اتوماتیک
بدون رنگ,جک S5 اتوماتیک,تبریز,مشکی,اتوماتیک,۲۷۵٫۰۰۰٫۰۰۰ تومان,۵۰٫۰۰۰,۲۰۱۸ - ۱۳۹۷
بدون رنگ,جک S5 اتوماتیک,تبریز,سفید,اتوماتیک,۲۷۱٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، ترمز دستی برقی,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 دنده‌ای,تبریز,نوک‌مدادی,دنده‌ای,۱۹۷٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، سانروف ، کولر دوال ، آینه تاشو برقی,۲۰۱۵ - ۱۳۹۴
نقدی,فروشی,تبریز,بدون رنگ,تک برگی,اتوماتیک,دنده پشت فرمان ، کولر دوال ، رادار ، دی لایت,جک S5 اتوماتیک
بدون رنگ,جک S5 دنده‌ای,تبریز,سفید,دنده‌ای,۲۵۰٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، اتو هلد ، آینه تاشو برقی ، دوربین 360 درجه,۲۰۱۷ - ۱۳۹۶
بدون رنگ,جک S5 اتوماتیک,تبریز,سفید,اتوماتیک,هستم,سنسور عقب و جلو ، سرد کن/گرم کن صندلی و فرمان ، سانروف ، کولر دوال ، کروز کنترل ، اتو هلد ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، کول باکس ، ترمز دستی برقی ، دوربین 360 درجه,۲۰۱۷ - ۱۳۹۶
