body,brand,cit,color,gear,price,usage,year
یک لکه رنگ,پژو پارس ساده,تهران، شهرک گلستان,نقره‌ای,دنده‌ای,۱۳۷٫۰۰۰,,۲۰۰۵ - ۱۳۸۴
دنده‌ای,پژو پارس ساده,شیراز، فخرآباد,دو لکه رنگ,۴۰٫۰۰۰٫۰۰۰ تومان,صندلی کودک,۳۰۰,۲۰۰۴ - ۱۳۸۳
چند لکه رنگ,پژو پارس ساده,شیراز، بنی هاشمی,سفید,دنده‌ای,سانروف ، آینه تاشو برقی,۲۲۲٫۲۲۲,۲۰۰۳ - ۱۳۸۲
بدون رنگ,پژو پارس ساده,کرج، شهریار,مشکی,دنده‌ای,۵۳٫۰۰۰٫۰۰۰ تومان,۱۶۵٫۰۰۰,۲۰۰۹ - ۱۳۸۸
,پژو پارس ساده,مشهد، کوی مهدی,,,,,۲۰۰۸ - ۱۳۸۷
,پژو پارس ساده,مشهد، گلبهار,,,,,۲۰۱۳ - ۱۳۹۲
یک لکه رنگ,پژو پارس ساده,رشت,سفید,دنده‌ای,۲۶۰٫۰۰۰,,۲۰۰۶ - ۱۳۸۵
چند لکه رنگ,پژو پارس ساده,رشت,نقره‌ای,دنده‌ای,۴۵٫۶۰۰٫۰۰۰ تومان,۳۳۳٫۰۰۰,۲۰۰۸ - ۱۳۸۷
دنده‌ای,پژو پارس ساده,شیراز، والفجر,بدون رنگ,۸۵٫۰۰۰٫۰۰۰ تومان,۸۶٫۶۷۳,,۲۰۱۶ - ۱۳۹۵
یک لکه رنگ,پژو پارس ساده,شیراز، بلوار مدرس,سفید صدفی,دنده‌ای,۱۳۰٫۰۰۰,,۲۰۰۷ - ۱۳۸۶
چند لکه رنگ,پژو پارس ساده,شیراز، شهرک پرواز,سفید,دنده‌ای,۵۱٫۰۰۰٫۰۰۰ تومان,۲۸۰,۲۰۰۸ - ۱۳۸۷
دنده‌ای,پژو پارس ساده,شیراز، پارامونت,دو لکه رنگ,۵۳٫۵۰۰٫۰۰۰ تومان,۲۴۰٫۰۰۰,,۲۰۰۹ - ۱۳۸۸
۱۸۳٫۰۰۰,پژو پارس ساده,شیراز، بلوار مدرس,دنده‌ای,,,,۲۰۰۳ - ۱۳۸۲
