body,brand,cit,color,gear,price,usage,year
چند لکه رنگ,پژو 405 GLX بنزینی,تهران، پامنار,یشمی,دنده‌ای,۲۶٫۰۰۰٫۰۰۰ تومان,۱۸۰,۲۰۰۰ - ۱۳۷۹
دنده‌ای,پژو 405 GLX بنزینی,تهران، ورامین,دو لکه رنگ,۴۲٫۵۰۰٫۰۰۰ تومان,۲۷۰٫۰۰۰,,۲۰۱۰ - ۱۳۸۹
چند لکه رنگ,پژو 405 GLX بنزینی,تبریز,عدسی,دنده‌ای,۱۱٫۱۱۱,,۱۹۹۴ - ۱۳۷۳
دو لکه رنگ,پژو 405 GLX بنزینی,اهواز، کیانشهر,نقره‌ای,دنده‌ای,هستم,۴۰۰٫۰۰۰,۲۰۰۶ - ۱۳۸۵
چند لکه رنگ,پژو 405 GLX بنزینی,رشت,مشکی,دنده‌ای,۲۹٫۰۰۰٫۰۰۰ تومان,۳۶۰٫۰۰۰,۲۰۰۴ - ۱۳۸۳
بدون رنگ,پژو 405 GLX بنزینی,اصفهان، زینبیه,نقدی,دنده‌ای,توافقی,۶۰٫۰۰۰,۲۰۱۵ - ۱۳۹۴
دنده‌ای,پژو 405 GLX بنزینی,تبریز,چند لکه رنگ,۲۵۱٫۰۰۰,,,۲۰۰۸ - ۱۳۸۷
بدون رنگ,پژو 405 GLX بنزینی,اصفهان، شاهین شهر,بژ,دنده‌ای,۲۸۶٫۰۰۰,,۲۰۰۴ - ۱۳۸۳
دنده‌ای,پژو 405 GLX بنزینی,اصفهان، فولادشهر,نقدی,توافقی,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,پژو 405 GLX بنزینی,اصفهان، خمینی شهر,نقره‌ای,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
چند لکه رنگ,پژو 405 GLX بنزینی,اصفهان، بزرگمهر,طوسی,دنده‌ای,۲۵٫۰۰۰٫۰۰۰ تومان,۴۸۰٫۰۰۰,۱۹۹۴ - ۱۳۷۳
یک لکه رنگ,پژو 405 GLX بنزینی,اصفهان، خمینی شهر,مشکی,دنده‌ای,۴۲٫۰۰۰٫۰۰۰ تومان,۲۹۷,۲۰۰۶ - ۱۳۸۵
چند لکه رنگ,پژو 405 GLX بنزینی,اصفهان، آتشگاه,مشکی,دنده‌ای,۲۸٫۰۰۰٫۰۰۰ تومان,۱۱۱٫۱۱۱,۲۰۰۳ - ۱۳۸۲
دنده‌ای,پژو 405 GLX بنزینی,اصفهان، خانه اصفهان,چند لکه رنگ,۱۸٫۵۰۰٫۰۰۰ تومان,۱۱۱٫۱۱۱,,۱۹۹۸ - ۱۳۷۷
