body,brand,cit,color,gear,price,usage,year
بدون رنگ,پراید 111 SE,تهران، افسریه,سفید,دنده‌ای,۴۲٫۵۰۰٫۰۰۰ تومان,۴۹٫۰۰۰,۲۰۱۵ - ۱۳۹۴
چند لکه رنگ,پراید 111 SE,رشت,سفید,دنده‌ای,۴۴٫۰۰۰٫۰۰۰ تومان,۱۷۰٫۰۰۰,۲۰۱۶ - ۱۳۹۵
بدون رنگ,پراید 111 SE,رشت,مسی,دنده‌ای,۱۱۰٫۰۰۰,,۲۰۱۳ - ۱۳۹۲
یک لکه رنگ,پراید 111 EX,کرمانشاه,طوسی,دنده‌ای,۱۱۰٫۰۰۰,,۲۰۱۱ - ۱۳۹۰
بدون رنگ,پراید 111 SE,کرمانشاه,سفید,دنده‌ای,۴۶٫۰۰۰٫۰۰۰ تومان,۶۸٫۰۰۰,۲۰۱۶ - ۱۳۹۵
بدون رنگ,پراید 111 SL,قم، آزادگان,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,پراید 111 SE,قم، جمهوری,سفید,دنده‌ای,۳٫۰۰۰,,۲۰۱۹ - ۱۳۹۸
چند لکه رنگ,پراید 111 SE,اهواز، کیانپارس,آبی,دنده‌ای,۴۰٫۰۰۰٫۰۰۰ تومان,۶۲٫۰۰۰,۲۰۱۵ - ۱۳۹۴
بدون رنگ,پراید 111 SE,مشهد، آزادشهر,سفید,دنده‌ای,۴۱٫۰۰۰,,۲۰۱۶ - ۱۳۹۵
بدون رنگ,پراید 111 SX,اصفهان، آتشگاه,سفید,دنده‌ای,۱۲,,۲۰۱۹ - ۱۳۹۸
,پراید 111 EX,کرج، کیانمهر,۲۵۰٫۰۰۰,,,,۲۰۰۲ - ۱۳۸۱
دنده‌ای,پراید 111 SE,کرج، هشتگرد,بدون رنگ,توافقی,۰,,۲۰۱۹ - ۱۳۹۸
توافقی,پراید 111 SX,کرج، گلشهر,دنده‌ای,۱۱,,,۲۰۱۹ - ۱۳۹۸
یک لکه رنگ,پراید 111 SE,کرج، حصارک,سفید,دنده‌ای,۴۲٫۰۰۰٫۰۰۰ تومان,۱۰۸,۲۰۱۴ - ۱۳۹۳
بدون رنگ,پراید 111 SE,کرج، مشکین دشت,نقره‌ای,دنده‌ای,۱۷۵٫۰۰۰,,۲۰۱۰ - ۱۳۸۹
