body,brand,cit,color,gear,price,usage,year
بدون رنگ,سمند LX EF7 گازسوز,کرمانشاه,نقره‌ای,دنده‌ای,۱۸۰٫۰۰۰,,۲۰۱۰ - ۱۳۸۹
بدون رنگ,سمند LX EF7 بنزینی,کرج، کمالشهر,سفید,دنده‌ای,سنسور عقب و جلو ، صندلی برقی,۰,۲۰۱۹ - ۱۳۹۸
دو لکه رنگ,سمند LX EF7 بنزینی,شیراز، کازرون,سفید,دنده‌ای,۸۰٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو,۲۰۱۸ - ۱۳۹۷
بدون رنگ,سمند LX ساده,کرج، گوهردشت,سفید,دنده‌ای,۶۷٫۵۰۰٫۰۰۰ تومان,۱۳۵٫۰۰۰,۲۰۱۵ - ۱۳۹۴
چند لکه رنگ,سمند LX ساده,مشهد، تربت حیدریه,سفید,دنده‌ای,۳۵٫۰۰۰٫۰۰۰ تومان,کولر دوال,۲۰۰۵ - ۱۳۸۴
بدون رنگ,سمند LX ساده,اصفهان، خانه اصفهان,سفید,دنده‌ای,۲۶٫۵۰۰٫۰۰۰ تومان,۷۰٫۰۰۰,۲۰۱۳ - ۱۳۹۲
دنده‌ای,سمند LX ساده,اهواز، امانیه,چند لکه رنگ,۲۳٫۰۰۰٫۰۰۰ تومان,۱۱۱٫۱۱۱,,۲۰۰۵ - ۱۳۸۴
۱۱۱,سمند LX EF7 گازسوز,مشهد، قاسم آباد (شهرک غرب),توافقی,,,,۲۰۱۴ - ۱۳۹۳
بدون رنگ,سمند LX EF7 گازسوز,مشهد، امامت,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX EF7 گازسوز,شیراز، تاچارا,دلفینی,دنده‌ای,۴۹٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، صندلی برقی ، آینه تاشو برقی,۲۰۰۸ - ۱۳۸۷
بدون رنگ,سمند LX EF7 بنزینی,شیراز، بلوار رحمت,سفید,دنده‌ای,۵۷٫۸۰۰٫۰۰۰ تومان,۱۶۵٫۰۰۰,۲۰۱۲ - ۱۳۹۱
,سمند LX ساده,شیراز، فرصت شیرازی,,,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX EF7 بنزینی,شیراز، امیرکبیر,سفید,دنده‌ای,۹۹٫۵۰۰٫۰۰۰ تومان,۱۳٫۰۰۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX ساده,شیراز، پایگاه هوایی,نقدی,دنده‌ای,توافقی,۰,۲۰۱۹ - ۱۳۹۸
,سمند LX EF7 گازسوز,شیراز، شهرک گلستان,۳۹۰,,,,۲۰۰۷ - ۱۳۸۶
بدون رنگ,سمند LX ساده,شیراز، ارتش,نقدی,دنده‌ای,توافقی,سنسور عقب و جلو ، صندلی برقی,۲۰۱۸ - ۱۳۹۷
یک لکه رنگ,سمند LX ساده,شیراز، فسا,سفید,دنده‌ای,۲۵۰٫۰۰۰,,۲۰۱۱ - ۱۳۹۰
دنده‌ای,سمند LX EF7 بنزینی,شیراز، همت جنوبی (ایمان),سفید,۱۰۰٫۰۰۰٫۰۰۰ تومان,۰,,۲۰۱۹ - ۱۳۹۸
دنده‌ای,سمند LX ساده,شیراز، بلوار رحمت,چند لکه رنگ,۳۷٫۰۰۰٫۰۰۰ تومان,۱۱٫۱۱۱,,۲۰۱۱ - ۱۳۹۰
دو لکه رنگ,سمند LX ساده,شیراز، پل غدیر,سفید,دنده‌ای,۶۳٫۵۰۰٫۰۰۰ تومان,۱۱۰٫۵۰۰,۲۰۱۵ - ۱۳۹۴
بدون رنگ,سمند LX ساده,شیراز، اطلسی,سفید,دنده‌ای,۳٫۰۰۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX EF7 بنزینی,شیراز، مرودشت,سفید,دنده‌ای,۵۵٫۰۰۰٫۰۰۰ تومان,۲۶۰٫۰۰۰,۲۰۱۱ - ۱۳۹۰
,سمند LX ساده,شیراز، بلوار عدالت,۰,,,,۲۰۱۹ - ۱۳۹۸
چند لکه رنگ,سمند LX EF7 گازسوز,شیراز، بلوار مدرس,نقدی,دنده‌ای,توافقی,۱۰٫۰۰۰,۲۰۰۹ - ۱۳۸۸
نقدی,فروشی,شیراز، زند,سرمه‌ای,بدون رنگ,دنده‌ای,۳۰۰٫۰۰۰,سمند LX ساده
بدون رنگ,سمند LX ساده,شیراز، فرصت شیرازی,مشکی,دنده‌ای,۳۰٫۰۰۰٫۰۰۰ تومان,۶۵,۲۰۰۲ - ۱۳۸۱
,,,,,,,
بدون رنگ,سمند LX ساده,شیراز، کازرون,سفید,دنده‌ای,۴٫۵۰۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX ساده,شیراز، اطلسی,سفید,دنده‌ای,۵۰,,۲۰۱۹ - ۱۳۹۸
دنده‌ای,سمند LX ساده,شیراز، صدرا فاز یک,یک لکه رنگ,۱۷۰٫۰۰۰,,,۲۰۱۳ - ۱۳۹۲
بدون رنگ,سمند LX ساده,شیراز، باهنر شمالی,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX ساده,شیراز، بلوار رحمت,نقرآبی,دنده‌ای,۲۲٫۰۰۰٫۰۰۰ تومان,۱٫۱۱۱,۲۰۰۳ - ۱۳۸۲
دنده‌ای,سمند LX EF7 بنزینی,شیراز، ادبیات,چند لکه رنگ,۵۸٫۰۰۰٫۰۰۰ تومان,۱۱۱٫۱۱۱,,۲۰۱۵ - ۱۳۹۴
بدون رنگ,سمند LX EF7 بنزینی,قم، توحید,سفید,دنده‌ای,۷۹٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو,۲۰۱۸ - ۱۳۹۷
,سمند LX ساده,قم، کلهری,۲۳۰,,,,۲۰۰۶ - ۱۳۸۵
بدون رنگ,سمند LX ساده,قم، امام,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
چند لکه رنگ,سمند LX EF7 گازسوز,قم، جمهوری,سفید,دنده‌ای,۵۶٫۰۰۰٫۰۰۰ تومان,۲۹۰,۲۰۱۱ - ۱۳۹۰
دنده‌ای,سمند LX ساده,شیراز، سفیر جنوبی,بدون رنگ,توافقی,۱۰۰,,۲۰۱۶ - ۱۳۹۵
چند لکه رنگ,سمند LX ساده,قم، کیوانفر,مشکی,دنده‌ای,۲۶٫۰۰۰٫۰۰۰ تومان,۳۵۰٫۰۰۰,۲۰۰۳ - ۱۳۸۲
یک لکه رنگ,سمند LX EF7 بنزینی,قم، بنیاد,سفید,دنده‌ای,۹۳٫۰۰۰٫۰۰۰ تومان,۵۴٫۰۰۰,۲۰۱۸ - ۱۳۹۷
بدون رنگ,سمند LX EF7 گازسوز,قم، سالاریه,سفید,دنده‌ای,۱۰۰٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
بدون رنگ,سمند LX EF7 گازسوز,قم، هنرستان,سفید,دنده‌ای,۱۰۵٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
بدون رنگ,سمند LX EF7 گازسوز,قم، بلوار ۱۵ خرداد,سفید,دنده‌ای,سنسور عقب و جلو ، صندلی برقی,۸۵,۲۰۱۸ - ۱۳۹۷
چند لکه رنگ,سمند LX ساده,قم، باجک (۱۹ دی),سفید,دنده‌ای,۴۱٫۰۰۰٫۰۰۰ تومان,۱۸۰,۲۰۱۱ - ۱۳۹۰
۷۳٫۰۰۰٫۰۰۰ تومان,سمند LX EF7 بنزینی,قم، جمهوری,بدون رنگ,۵۵٫۰۰۰,,,۲۰۱۴ - ۱۳۹۳
۰,سمند LX EF7 گازسوز,قم، زنبیل‌آباد (شهید صدوقی),توافقی,,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX ساده,قم، پردیسان,سفید,دنده‌ای,۴۵٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، صندلی برقی ، آینه تاشو برقی,۲۰۰۸ - ۱۳۸۷
دنده‌ای,سمند LX EF7 بنزینی,قم، امامزاده ابراهیم,بدون رنگ,۵۸٫۰۰۰٫۰۰۰ تومان,۱۷۰,,۲۰۱۴ - ۱۳۹۳
دنده‌ای,سمند LX ساده,قم، توحید,بدون رنگ,۱٫۱۱۱٫۱۱۱ تومان,سنسور عقب و جلو ، صندلی برقی,۱۷۰,۲۰۱۴ - ۱۳۹۳
بدون رنگ,سمند LX EF7 گازسوز,قم، بنیاد,سفید,دنده‌ای,۱۶٫۰۰۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX EF7 بنزینی,قم، کلهری,سفید,دنده‌ای,۵۷٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کولر دوال ، صندلی برقی ، آینه تاشو برقی,۲۰۱۰ - ۱۳۸۹
دو لکه رنگ,سمند LX ساده,قم، جمهوری,خاکستری,دنده‌ای,۴۱٫۸۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، صندلی برقی ، آینه تاشو برقی,۲۰۰۹ - ۱۳۸۸
,سمند LX ساده,قم، بنیاد,۱۲۵,,,,۲۰۱۵ - ۱۳۹۴
۱۰۳٫۰۰۰,سمند LX ساده,قم، امام,بدون رنگ,,,,۲۰۱۶ - ۱۳۹۵
چند لکه رنگ,سمند LX EF7 گازسوز,قم، توحید,سفید,دنده‌ای,۵۲٫۰۰۰٫۰۰۰ تومان,۲۹۰٫۰۰۰,۲۰۱۱ - ۱۳۹۰
بدون رنگ,سمند LX ساده,قم، امام,سفید,دنده‌ای,۹٫۰۰۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX EF7 بنزینی,قم، زنبیل‌آباد (شهید صدوقی),سفید,دنده‌ای,۹۰٫۰۰۰٫۰۰۰ تومان,۲۳٫۰۰۰,۲۰۱۷ - ۱۳۹۶
,سمند LX ساده,قم، امام,۳۸٫۰۰۰,,,,۲۰۱۸ - ۱۳۹۷
دو لکه رنگ,سمند LX ساده,قم، امام,سفید,دنده‌ای,۵۶٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، صندلی برقی ، آینه تاشو برقی,۲۰۱۴ - ۱۳۹۳
,سمند LX ساده,کرمانشاه,۹۹٫۰۰۰,,,,۲۰۱۶ - ۱۳۹۵
بدون رنگ,سمند LX ساده,کرمانشاه,سفید,دنده‌ای,۵۵٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، صندلی برقی,۲۰۱۲ - ۱۳۹۱
چند برگی,سمند LX EF7 گازسوز,کرمانشاه,خاکستری,دنده‌ای,۱۸۰,,۲۰۱۱ - ۱۳۹۰
بدون رنگ,سمند LX ساده,کرمانشاه,سفید,دنده‌ای,۹٫۵۰۰,,۲۰۱۹ - ۱۳۹۸
۲۳۶٫۰۰۰,سمند LX ساده,کرمانشاه,توافقی,,,,۲۰۱۸ - ۱۳۹۷
چند لکه رنگ,سمند LX EF7 گازسوز,کرمانشاه,سفید,دنده‌ای,۱۴۰٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
بدون رنگ,سمند LX ساده,کرمانشاه,سفید,دنده‌ای,صندلی برقی ، آینه تاشو برقی,۲۳۰٫۰۰۰,۲۰۱۰ - ۱۳۸۹
چند لکه رنگ,سمند LX EF7 گازسوز,کرمانشاه,سفید,دنده‌ای,۵۷٫۰۰۰٫۰۰۰ تومان,صندلی برقی,۲۰۱۱ - ۱۳۹۰
بدون رنگ,سمند LX EF7 گازسوز,کرمانشاه,زرد,دنده‌ای,۷۹٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، صندلی برقی ، ترمز دستی برقی,۲۰۱۶ - ۱۳۹۵
بدون رنگ,سمند LX EF7 گازسوز,کرمانشاه,سفید,دنده‌ای,سنسور عقب و جلو ، صندلی برقی,۷۰٫۰۰۰,۲۰۱۷ - ۱۳۹۶
,سمند LX EF7 بنزینی,کرمانشاه,,,,,۲۰۱۴ - ۱۳۹۳
دنده‌ای,سمند LX ساده,قم، پردیسان,بدون رنگ,سنسور عقب و جلو ، صندلی برقی,۳۵,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX ساده,قم، بلوار امین,سفید,دنده‌ای,۳٫۸۰۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX ساده,قم، بلوار امین,سفید,دنده‌ای,۷۱٫۰۰۰٫۰۰۰ تومان,۸۱٫۰۰۰,۲۰۱۶ - ۱۳۹۵
یک لکه رنگ,سمند LX EF7 بنزینی,قم، پردیسان,خاکستری,دنده‌ای,۵۰٫۰۰۰٫۰۰۰ تومان,۲۶۰٫۰۰۰,۲۰۱۰ - ۱۳۸۹
بدون رنگ,سمند LX,قم، بلوار ۱۵ خرداد,سفید صدفی,دنده‌ای,۸۸٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX ساده,کرمانشاه,سفید,دنده‌ای,سنسور عقب و جلو ، صندلی کودک ، صندلی برقی,۰,۲۰۱۹ - ۱۳۹۸
,سمند LX EF7 گازسوز,قم، آذر,۰,,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX EF7 گازسوز,قم، دورشهر,نقدی,دنده‌ای,توافقی,۸۵٫۰۰۰,۲۰۱۶ - ۱۳۹۵
,سمند LX EF7 گازسوز,قم، شهرک قدس,,,,,۲۰۱۷ - ۱۳۹۶
۵۷٫۰۰۰٫۰۰۰ تومان,سمند LX EF7 بنزینی,قم، زنبیل‌آباد (شهید صدوقی),بدون رنگ,سنسور عقب و جلو ، صندلی برقی,۱۸۰٫۰۰۰,,۲۰۱۲ - ۱۳۹۱
دو لکه رنگ,سمند LX ساده,قم، توحید,سفید,دنده‌ای,۴۷٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، صندلی برقی,۲۰۱۰ - ۱۳۸۹
بدون رنگ,سمند LX ساده,قم، آزادگان,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
چند لکه رنگ,سمند LX ساده,قم، توحید,نقره‌ای,دنده‌ای,سنسور عقب و جلو,۱۷۰٫۰۰۰,۲۰۰۶ - ۱۳۸۵
,سمند LX EF7 گازسوز,قم، امام,,,,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,سمند LX EF7 بنزینی,قم، پردیسان,سفید,دنده‌ای,۸۵٫۰۰۰٫۰۰۰ تومان,دی لایت,۲۰۱۷ - ۱۳۹۶
یک لکه رنگ,سمند LX EF7 گازسوز,قم، پردیسان,زرد,دنده‌ای,۷۵٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کولر دوال ، صندلی برقی,۲۰۱۷ - ۱۳۹۶
,سمند LX ساده,قم، آزادگان,,,,,۲۰۱۹ - ۱۳۹۸
دنده‌ای,سمند LX ساده,قم، آزادگان,چند لکه رنگ,۴۱٫۰۰۰٫۰۰۰ تومان,صندلی برقی,۳۰۰,۲۰۰۸ - ۱۳۸۷
بدون رنگ,سمند LX EF7 بنزینی,قم، امام,سفید,دنده‌ای,۸۶٫۰۰۰٫۰۰۰ تومان,۵۰٫۰۰۰,۲۰۱۸ - ۱۳۹۷
بدون رنگ,سمند LX EF7 بنزینی,قم، انسجام,سفید,دنده‌ای,۷۰٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، صندلی برقی,۲۰۱۵ - ۱۳۹۴
چند لکه رنگ,سمند LX ساده,قم، زنبیل‌آباد (شهید صدوقی),سفید,دنده‌ای,صندلی برقی,۲۲۵٫۰۰۰,۲۰۱۱ - ۱۳۹۰
بدون رنگ,سمند LX EF7 بنزینی,قم، پردیسان,سفید,دنده‌ای,۱۰۲٫۰۰۰٫۰۰۰ تومان,۲۵۰,۲۰۱۹ - ۱۳۹۸
دنده‌ای,سمند LX EF7 بنزینی,قم، پردیسان,بدون رنگ,۹۶٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، صندلی برقی,۵٫۰۰۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX EF7 گازسوز,کرمانشاه,سفید,دنده‌ای,۱۳۰٫۰۰۰,,۲۰۱۰ - ۱۳۸۹
دنده‌ای,سمند LX EF7 گازسوز,کرمانشاه,بدون رنگ,۳۸٫۰۰۰,,,۲۰۱۶ - ۱۳۹۵
بدون رنگ,سمند LX EF7 گازسوز,کرمانشاه,سفید,دنده‌ای,۶۳٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
بدون رنگ,سمند LX EF7 گازسوز,کرمانشاه,سفید,دنده‌ای,۴۲٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
