body,brand,cit,color,gear,price,usage,year
بدون رنگ,تیبا صندوق‌دار SX,اهواز، پردیس,سفید,دنده‌ای,۶۰٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
اوراقی,تیبا صندوق‌دار EX,تبریز,سفید,دنده‌ای,۹۰٫۰۰۰,,۲۰۱۳ - ۱۳۹۲
تک برگی,تیبا صندوق‌دار,تبریز,بدون رنگ,توافقی,۱۰۰,,۲۰۱۴ - ۱۳۹۳
بدون رنگ,تیبا صندوق‌دار SX,تبریز,سفید,دنده‌ای,۳۹٫۵۰۰٫۰۰۰ تومان,۱,۲۰۱۹ - ۱۳۹۸
چند لکه رنگ,تیبا صندوق‌دار SX,تبریز,سفید,دنده‌ای,۴۶٫۰۰۰٫۰۰۰ تومان,۹۲٫۰۰۰,۲۰۱۶ - ۱۳۹۵
دنده‌ای,تیبا صندوق‌دار EX,شیراز، بنی هاشمی,بدون رنگ,۱۷۰٫۰۰۰,,,۲۰۱۳ - ۱۳۹۲
,تیبا صندوق‌دار SX,تبریز,۴٫۵۰۰,,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار SX,مشهد، سعدی,نقدی,دنده‌ای,توافقی,۰,۲۰۱۹ - ۱۳۹۸
,تیبا صندوق‌دار EX,کرج، مهرویلا,,,,,۲۰۱۹ - ۱۳۹۸
یک لکه رنگ,تیبا صندوق‌دار EX,اهواز، زیباشهر,سفید,دنده‌ای,سنسور عقب و جلو,۵۰٫۰۰۰,۲۰۱۸ - ۱۳۹۷
بدون رنگ,تیبا صندوق‌دار EX دوگانه سوز,اهواز، کیانپارس,سفید,دنده‌ای,۱,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,تیبا صندوق‌دار SX,اهواز، کوی نفت,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار EX دوگانه سوز,اهواز، پادادشهر,سفید,دنده‌ای,۵۲٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,تیبا صندوق‌دار EX,اهواز، کوت عبدالله,سفید,دنده‌ای,۱۰٫۰۰۰,,۲۰۱۹ - ۱۳۹۸
دنده‌ای,تیبا صندوق‌دار EX دوگانه سوز,اهواز، کوی فرهنگیان,بدون رنگ,۱٫۰۰۰,,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,تیبا صندوق‌دار LX,اهواز، کوی فرهنگیان,سفید,دنده‌ای,۷۴٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
دنده‌ای,تیبا صندوق‌دار SX,اهواز، باهنر,یک لکه رنگ,۴۴٫۰۰۰٫۰۰۰ تومان,۱۷,,۲۰۱۳ - ۱۳۹۲
بدون رنگ,تیبا صندوق‌دار LX,اهواز، رسالت,سفید,دنده‌ای,۱۴,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار SX,اهواز، پردیس,سفید,دنده‌ای,۱٫۱۱۱٫۱۱۱ تومان,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار EX دوگانه سوز,اهواز، کوت عبدالله,نقدی,دنده‌ای,توافقی,۷۲,۲۰۱۷ - ۱۳۹۶
بدون رنگ,تیبا صندوق‌دار SX,اهواز، آریاشهر,نقره‌ای,دنده‌ای,۳۷٫۰۰۰٫۰۰۰ تومان,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار SX,اهواز، کمپلو جنوبی (کوی انقلاب),نوک‌مدادی,دنده‌ای,۱۵٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
,تیبا صندوق‌دار SX,اهواز، کمپلوی شمالی (لشکر),۱,,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار LX دوگانه‌ سوز,اهواز، آریاشهر,سفید,دنده‌ای,۱۹٫۸۰۰,,۲۰۱۷ - ۱۳۹۶
بدون رنگ,تیبا صندوق‌دار EX دوگانه سوز,اهواز، گلستان,نقدی,دنده‌ای,توافقی,۳۴٫۰۰۰,۲۰۱۸ - ۱۳۹۷
دو لکه رنگ,تیبا صندوق‌دار SX دوگانه‌ سوز,اهواز، امانیه,سفید,دنده‌ای,۶۰٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
بدون رنگ,تیبا صندوق‌دار EX دوگانه سوز,اهواز، امانیه,سفید صدفی,دنده‌ای,۶۰,,۲۰۱۷ - ۱۳۹۶
بدون رنگ,تیبا صندوق‌دار SX,اهواز، کیانپارس,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
دنده‌ای,تیبا صندوق‌دار EX دوگانه سوز,اهواز، کمپلوی شمالی (لشکر),سفید,۱۸۸٫۰۰۰,,,۲۰۱۵ - ۱۳۹۴
بدون رنگ,تیبا صندوق‌دار EX دوگانه سوز,اهواز، شریعتی جنوبی,سفید,دنده‌ای,۵۰٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
بدون رنگ,تیبا صندوق‌دار SX دوگانه‌ سوز,اهواز، آریاشهر,سفید,دنده‌ای,۱۵٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,تیبا صندوق‌دار EX دوگانه سوز,اهواز، پادادشهر,سفید,دنده‌ای,۵۰,,۲۰۱۸ - ۱۳۹۷
,تیبا صندوق‌دار EX,اهواز، معین زاده,,,,,۲۰۱۵ - ۱۳۹۴
بدون رنگ,تیبا صندوق‌دار SX,کرج، مهرشهر,سفید,دنده‌ای,۲۶٫۰۰۰٫۰۰۰ تومان,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار SX,کرج، شهرک بنفشه,مسی,دنده‌ای,۱۳۰٫۰۰۰,,۲۰۱۱ - ۱۳۹۰
بدون رنگ,تیبا صندوق‌دار SX,کرج، مارلیک,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار SX,کرج، شاهین ویلا,نقدی,دنده‌ای,توافقی,۵۸٫۰۰۰,۲۰۱۶ - ۱۳۹۵
توافقی,تیبا صندوق‌دار EX,کرج، مصباح,دنده‌ای,۱,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار EX,کرج، گلشهر,سفید,دنده‌ای,۸۶٫۰۰۰,,۲۰۱۱ - ۱۳۹۰
,,,,,,,
بدون رنگ,تیبا صندوق‌دار SX,کرج، هفت تیر,نقدی,دنده‌ای,توافقی,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار SX,کرج، فردیس,سفید,دنده‌ای,کولر دوال ، ترمز دستی برقی,۱۸۹٫۰۰۰,۲۰۱۴ - ۱۳۹۳
,,,,,,,
دنده‌ای,تیبا صندوق‌دار EX,کرج، گوهردشت,دو لکه رنگ,۳۰٫۶۰۰٫۰۰۰ تومان,۲۴۶٫۰۰۰,,۲۰۱۰ - ۱۳۸۹
۲۰٫۰۰۰,تیبا صندوق‌دار EX,کرج، فردیس,تک برگی,,,,۲۰۱۰ - ۱۳۸۹
یک لکه رنگ,تیبا صندوق‌دار SX,کرج، حصارک,سفید,دنده‌ای,۲۰۰٫۰۰۰,,۲۰۱۲ - ۱۳۹۱
,تیبا صندوق‌دار EX,کرج، منظریه,,,,,۲۰۱۸ - ۱۳۹۷
دنده‌ای,تیبا صندوق‌دار SX,تهران، قیطریه,بدون رنگ,۱۲۰٫۰۰۰,,,۲۰۱۰ - ۱۳۸۹
,,,,,,,
دنده‌ای,فروشی,تهران، شهرک تختی,نقدی,توافقی,۱,,تیبا صندوق‌دار SX
دنده‌ای,فروشی,تهران، جمهوری,نقدی,توافقی,۰,,تیبا صندوق‌دار SX
دو لکه رنگ,تیبا صندوق‌دار EX,کرج، محمد شهر,سفید,دنده‌ای,۴۳٫۲۰۰٫۰۰۰ تومان,۱۵۰,۲۰۱۳ - ۱۳۹۲
نقدی,فروشی,تهران، جمهوری,سفید,بدون رنگ,دنده‌ای,۰,تیبا صندوق‌دار SX
بدون رنگ,تیبا صندوق‌دار SX,تهران، نارمک,نقدی و قسطی,دنده‌ای,توافقی,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار EX,تهران، تهران‌سر,سفید,دنده‌ای,۱٫۸۰۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار,تهران، سید خندان,سفید,دنده‌ای,۳۴٫۰۰۰٫۰۰۰ تومان,۱,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار SX,تهران، صادقیه,سفید,دنده‌ای,۵۷٫۰۰۰٫۰۰۰ تومان,۰,۲۰۱۹ - ۱۳۹۸
توافقی,تیبا صندوق‌دار,تهران، صادقیه,دنده‌ای,۰,,,۲۰۱۹ - ۱۳۹۸
۳۲٫۰۰۰٫۰۰۰ تومان,تیبا صندوق‌دار EX,تهران، صادقیه,دنده‌ای,۰,,,۲۰۱۹ - ۱۳۹۸
نقدی,فروشی,تهران، میدان حر,سفید,بدون رنگ,دنده‌ای,۰,تیبا صندوق‌دار SX
نقدی,فروشی,تهران، میدان آزادی,سفید,بدون رنگ,دنده‌ای,توافقی,تیبا صندوق‌دار SX
نقدی و قسطی,فروشی,تهران، نارمک,سفید,بدون رنگ,دنده‌ای,۳۰٫۵۰۰٫۰۰۰ تومان,تیبا صندوق‌دار EX
بدون رنگ,تیبا صندوق‌دار SX,تهران، صادقیه,سفید,دنده‌ای,۵۷٫۰۰۰٫۰۰۰ تومان,۰,۲۰۱۹ - ۱۳۹۸
دنده‌ای,تیبا صندوق‌دار SX,کرج، فردیس,بدون رنگ,۱۴۴٫۰۰۰,,,۲۰۱۲ - ۱۳۹۱
بدون رنگ,تیبا صندوق‌دار EX,کرج، خرمدشت,سفید,دنده‌ای,۱۴٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
۱۳۴٫۰۰۰,تیبا صندوق‌دار SX,کرج، خرمدشت,دنده‌ای,,,,۲۰۱۴ - ۱۳۹۳
دنده‌ای,تیبا صندوق‌دار SX,کرج، جهانشهر,سفید,۰,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار SX,کرج، کیانمهر,سفید,دنده‌ای,۱۴۰٫۰۰۰,,۲۰۱۶ - ۱۳۹۵
بدون رنگ,تیبا صندوق‌دار EX,کرج، باغستان,سفید,دنده‌ای,۵۱٫۳۵۰٫۰۰۰ تومان,۱۵۲,۲۰۱۵ - ۱۳۹۴
بدون رنگ,تیبا صندوق‌دار,کرج، ساسانی,نقدی,دنده‌ای,توافقی,۶٫۰۰۰,۲۰۱۹ - ۱۳۹۸
دو لکه رنگ,تیبا صندوق‌دار SX,کرج، درختی,سفید,دنده‌ای,۴۴٫۰۰۰٫۰۰۰ تومان,۱۷۰,۲۰۱۳ - ۱۳۹۲
تک برگی,تیبا صندوق‌دار EX,مشهد، کاشمر,بدون رنگ,توافقی,۰,,۲۰۱۹ - ۱۳۹۸
یک لکه رنگ,تیبا صندوق‌دار LX,کرج، کمالشهر,سفید,دنده‌ای,۵۳٫۰۰۰٫۰۰۰ تومان,۷۵٫۰۰۰,۲۰۱۷ - ۱۳۹۶
بدون رنگ,تیبا صندوق‌دار EX,کرج، طالقانی,مشکی,دنده‌ای,صندلی برقی ، آینه تاشو برقی,۳۸,۲۰۱۷ - ۱۳۹۶
دو لکه رنگ,تیبا صندوق‌دار EX,کرج، آزادگان,سفید,دنده‌ای,۴۵٫۰۰۰٫۰۰۰ تومان,۱۷۵,۲۰۱۲ - ۱۳۹۱
بدون رنگ,تیبا صندوق‌دار SX,مشهد، ۱۷ شهریور,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار LX دوگانه‌ سوز,مشهد، طلاب,سفید,دنده‌ای,۸۶٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
تک برگی,تیبا صندوق‌دار EX,مشهد، عبادی,بدون رنگ,۷۰٫۰۰۰,,,۲۰۱۵ - ۱۳۹۴
هستم,تیبا صندوق‌دار SX,مشهد، بلوار توس,چند برگی,۱۳۶,,,۲۰۱۴ - ۱۳۹۳
,تیبا صندوق‌دار EX,مشهد، ابوطالب,,,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,تیبا صندوق‌دار SX,مشهد، قاسم آباد (شهرک غرب),سفید,دنده‌ای,۶۰٫۰۰۰,,۲۰۱۵ - ۱۳۹۴
چند لکه رنگ,تیبا صندوق‌دار EX دوگانه سوز,مشهد، طلاب,بنفش,دنده‌ای,۲۸۰٫۰۰۰,,۲۰۱۰ - ۱۳۸۹
