body,brand,cit,color,gear,price,usage,year
بدون رنگ,سمند LX ساده,کرج، گوهردشت,سفید,دنده‌ای,67500000.0,135000.0,1394
بدون رنگ,سمند LX ساده,اصفهان، خانه اصفهان,سفید,دنده‌ای,26500000.0,70000.0,1392
بدون رنگ,سمند LX EF7 بنزینی,شیراز، بلوار رحمت,سفید,دنده‌ای,57800000.0,165000.0,1391
بدون رنگ,سمند LX EF7 بنزینی,شیراز، امیرکبیر,سفید,دنده‌ای,99500000.0,13000.0,1398
دو لکه رنگ,سمند LX ساده,شیراز، پل غدیر,سفید,دنده‌ای,63500000.0,110500.0,1394
بدون رنگ,سمند LX EF7 بنزینی,شیراز، مرودشت,سفید,دنده‌ای,55000000.0,260000.0,1390
بدون رنگ,سمند LX ساده,شیراز، فرصت شیرازی,مشکی,دنده‌ای,30000000.0,65.0,1381
بدون رنگ,سمند LX ساده,شیراز، بلوار رحمت,نقرآبی,دنده‌ای,22000000.0,1111.0,1382
چند لکه رنگ,سمند LX EF7 گازسوز,قم، جمهوری,سفید,دنده‌ای,56000000.0,290.0,1390
چند لکه رنگ,سمند LX ساده,قم، کیوانفر,مشکی,دنده‌ای,26000000.0,350000.0,1382
یک لکه رنگ,سمند LX EF7 بنزینی,قم، بنیاد,سفید,دنده‌ای,93000000.0,54000.0,1397
چند لکه رنگ,سمند LX ساده,قم، باجک (۱۹ دی),سفید,دنده‌ای,41000000.0,180.0,1390
چند لکه رنگ,سمند LX EF7 گازسوز,قم، توحید,سفید,دنده‌ای,52000000.0,290000.0,1390
بدون رنگ,سمند LX EF7 بنزینی,قم، زنبیل‌آباد (شهید صدوقی),سفید,دنده‌ای,90000000.0,23000.0,1396
بدون رنگ,سمند LX ساده,قم، بلوار امین,سفید,دنده‌ای,71000000.0,81000.0,1395
یک لکه رنگ,سمند LX EF7 بنزینی,قم، پردیسان,خاکستری,دنده‌ای,50000000.0,260000.0,1389
بدون رنگ,سمند LX EF7 بنزینی,قم، امام,سفید,دنده‌ای,86000000.0,50000.0,1397
بدون رنگ,سمند LX EF7 بنزینی,قم، پردیسان,سفید,دنده‌ای,102000000.0,250.0,1398
چند لکه رنگ,سمند LX EF7 گازسوز,کرمانشاه,سفید,دنده‌ای,51000000.0,170000.0,1389
چند لکه رنگ,سمند LX ساده,تهران، مسعودیه,نوک‌مدادی,دنده‌ای,40400000.0,189000.0,1388
بدون رنگ,سمند LX EF7 گازسوز,تهران، اوقاف,سفید,دنده‌ای,65000000.0,151000.0,1391
بدون رنگ,سمند LX EF7 بنزینی,تهران، پیروزی,سفید,دنده‌ای,84000000.0,51000.0,1396
چند لکه رنگ,سمند LX ساده,کرج، فردیس,بژ,دنده‌ای,20000000.0,100400.0,1384
چند لکه رنگ,سمند LX EF7 بنزینی,کرج، عظیمیه,سفید,دنده‌ای,75000000.0,50000.0,1396
چند لکه رنگ,سمند LX ساده,کرج، کمالشهر,قرمز,دنده‌ای,35300000.0,220000.0,1385
دو لکه رنگ,سمند LX ساده,کرج، فردیس,خاکستری,دنده‌ای,62000000.0,84000.0,1393
بدون رنگ,سمند LX ساده,تهران، آهنگ,آبی,دنده‌ای,78000000.0,32000.0,1397
بدون رنگ,سمند LX ساده,تهران، صادقیه,سفید,دنده‌ای,81500000.0,0.0,1398
بدون رنگ,سمند LX EF7 بنزینی,مشهد، احمدآباد,سفید,دنده‌ای,98000000.0,0.0,1398
یک لکه رنگ,سمند LX,مشهد، بلوار توس,نقره‌ای,دنده‌ای,41500000.0,300.0,1386
بدون رنگ,سمند LX EF7 گازسوز,مشهد، ۱۷ شهریور,سربی,دنده‌ای,7500000.0,38300.0,1387
بدون رنگ,سمند LX ساده,مشهد، تربت حیدریه,سفید,دنده‌ای,11111111.0,43500.0,1394
بدون رنگ,سمند LX EF7 گازسوز,تهران، پیروزی,نقره‌ای,دنده‌ای,57000000.0,165000.0,1390
بدون رنگ,سمند LX,مشهد، قاسم آباد (شهرک غرب),سفید,دنده‌ای,64800000.0,125000.0,1393
بدون رنگ,سمند LX EF7 گازسوز,مشهد، طلاب,سفید,دنده‌ای,90000000.0,100.0,1395
دو لکه رنگ,سمند LX EF7 گازسوز,مشهد، ۱۷ شهریور,زرد,دنده‌ای,52000000.0,208000.0,1394
چند لکه رنگ,سمند LX ساده,مشهد، تربت حیدریه,نقره‌ای,دنده‌ای,24000000.0,26358.0,1382
دو لکه رنگ,سمند LX EF7 بنزینی,مشهد، بلوار الهیه,سفید,دنده‌ای,46600000.0,171000.0,1391
چند لکه رنگ,سمند LX EF7 گازسوز,مشهد، اندیشه,سفید,دنده‌ای,81000000.0,106000.0,1395
بدون رنگ,سمند LX EF7 بنزینی,مشهد، قاسم آباد (شهرک غرب),سفید,دنده‌ای,78000000.0,65000.0,1396
یک لکه رنگ,سمند LX ساده,مشهد، وکیل آباد,سفید,دنده‌ای,58000000.0,116.0,1394
دو لکه رنگ,سمند LX EF7 گازسوز,مشهد، خیام,سفید,دنده‌ای,96000000.0,50000.0,1397
چند لکه رنگ,سمند LX ساده,اهواز، کیانپارس,مشکی,دنده‌ای,35000000.0,214.0,1386
بدون رنگ,سمند LX ساده,اهواز، کوی علوی,سفید,دنده‌ای,81000000.0,22200.0,1397
یک لکه رنگ,سمند LX ساده,اهواز، کوی مهدیس,سفید,دنده‌ای,37700000.0,250000.0,1390
بدون رنگ,سمند LX ساده,اهواز، کوت عبدالله,سفید,دنده‌ای,45000000.0,0.0,1388
چند لکه رنگ,سمند LX ساده,اهواز، آریاشهر,مشکی,دنده‌ای,24800000.0,1.0,1382
چند لکه رنگ,سمند LX ساده,اهواز، پردیس,نقره‌ای,دنده‌ای,35000000.0,495.0,1383
بدون رنگ,سمند LX,اهواز، پادادشهر,سفید صدفی,دنده‌ای,42000000.0,160000.0,1385
دو لکه رنگ,سمند LX ساده,تبریز,سفید,دنده‌ای,41500000.0,150.0,1388
چند لکه رنگ,سمند LX EF7 گازسوز,تبریز,کربن‌بلک,دنده‌ای,66000000.0,360.0,1391
بدون رنگ,سمند LX ساده,تهران، شمس‌آباد,سفید,دنده‌ای,35000000.0,73000.0,1391
چند لکه رنگ,سمند LX EF7 گازسوز,تبریز,مسی,دنده‌ای,40000000.0,300000.0,1385
بدون رنگ,سمند LX EF7 بنزینی,تبریز,سفید,دنده‌ای,93000000.0,35000.0,1397
بدون رنگ,سمند LX ساده,تبریز,سفید,دنده‌ای,76000000.0,40300.0,1396
دو لکه رنگ,سمند LX EF7 بنزینی,تبریز,سفید,دنده‌ای,75000000.0,116000.0,1396
بدون رنگ,سمند LX EF7 گازسوز,تبریز,آبی,دنده‌ای,95000000.0,97.0,1396
دو لکه رنگ,سمند LX ساده,رشت,مشکی,دنده‌ای,61000000.0,120000.0,1394
بدون رنگ,سمند LX EF7 بنزینی,رشت,سرمه‌ای,دنده‌ای,72000000.0,90000.0,1394
چند لکه رنگ,سمند LX ساده,رشت,مشکی,دنده‌ای,44500000.0,260000.0,1388
بدون رنگ,سمند LX EF7 بنزینی,اصفهان، شهرضا,سفید,دنده‌ای,70500000.0,118000.0,1394
بدون رنگ,سمند LX EF7 گازسوز,اصفهان، شهرضا,سفید,دنده‌ای,96000000.0,42000.0,1397
بدون رنگ,سمند LX EF7 بنزینی,اصفهان، خانه اصفهان,سفید,دنده‌ای,89500000.0,45000.0,1396
یک لکه رنگ,سمند LX ساده,کرج، کمالشهر,خاکستری,دنده‌ای,64000000.0,92000.0,1393
یک لکه رنگ,سمند LX EF7 گازسوز,کرج، فردیس,سفید,دنده‌ای,60000000.0,165.0,1389
بدون رنگ,سمند LX EF7 بنزینی,کرج، هشتگرد,سفید,دنده‌ای,86000000.0,36000.0,1396
بدون رنگ,سمند LX EF7 بنزینی,کرج، آزادگان,سفید,دنده‌ای,102000000.0,0.0,1398
چند لکه رنگ,سمند LX EF7 گازسوز,کرج، گوهردشت,سفید,دنده‌ای,67000000.0,130000.0,1394
بدون رنگ,سمند LX ساده,کرج، آزادگان,سفید,دنده‌ای,51000000.0,0.0,1398
بدون رنگ,سمند LX ساده,کرج، شهر جدید اندیشه,مشکی,دنده‌ای,73500000.0,55000.0,1396
بدون رنگ,سمند LX EF7 بنزینی,شیراز، بلوار رحمت,سفید,دنده‌ای,75000000.0,71000.0,1395
بدون رنگ,سمند LX ساده,شیراز، مرودشت,نقره‌ای,دنده‌ای,40000000.0,300000.0,1388
یک لکه رنگ,سمند LX EF7 بنزینی,شیراز، کازرون,سفید صدفی,دنده‌ای,50000000.0,200000.0,1390
بدون رنگ,سمند LX ساده,شیراز، میدان معلم,سفید,دنده‌ای,70000000.0,70000.0,1395
چند لکه رنگ,سمند LX ساده,کرج، شهر جدید اندیشه,سفید,دنده‌ای,48000000.0,260000.0,1390
چند لکه رنگ,سمند LX EF7 گازسوز,شیراز، صنایع (میرزای شیرازی),سفید,دنده‌ای,51000000.0,25000.0,1390
بدون رنگ,سمند LX ساده,شیراز، صنایع (میرزای شیرازی),سفید,دنده‌ای,42700000.0,248000.0,1387
بدون رنگ,سمند LX EF7 بنزینی,شیراز، بلوار مدرس,سفید,دنده‌ای,68000000.0,1111.0,1394
چند لکه رنگ,سمند LX ساده,شیراز، شهرک گلستان,سفید,دنده‌ای,60000000.0,80000.0,1393
دو لکه رنگ,سمند LX ساده,کرمانشاه,بادمجانی,دنده‌ای,50000000.0,11111.0,1390
دو لکه رنگ,سمند LX ساده,کرمانشاه,سفید,دنده‌ای,48000000.0,200.0,1390
دو لکه رنگ,سمند LX ساده,کرمانشاه,سفید,دنده‌ای,59600000.0,80000.0,1392
بدون رنگ,سمند LX ساده,کرمانشاه,خاکستری,دنده‌ای,67000000.0,68000.0,1394
بدون رنگ,سمند LX,تهران، رودهن,سفید,دنده‌ای,79000000.0,40000.0,1397
بدون رنگ,سمند LX EF7 بنزینی,تهران، نعمت‌آباد,سفید,دنده‌ای,87000000.0,44000.0,1397
بدون رنگ,سمند LX EF7 بنزینی,تهران، مجیدیه,سفید,دنده‌ای,79000000.0,52000.0,1395
بدون رنگ,سمند LX,تهران، دریان‌نو‍,سفید,دنده‌ای,75000000.0,92000.0,1395
بدون رنگ,سمند LX ساده,تهران، میدان آزادی,سفید,دنده‌ای,360.0,210000.0,1388
چند لکه رنگ,سمند LX ساده,تهران، ده‌ونک,یشمی,دنده‌ای,26200000.0,392.0,1382
بدون رنگ,سمند LX,تهران، شهرک محلاتی,نقره‌ای,دنده‌ای,39000000.0,213.0,1384
بدون رنگ,سمند LX EF7 بنزینی,تهران، تهران‌سر,سفید,دنده‌ای,85000000.0,1.0,1398
دو لکه رنگ,سمند LX ساده,تهران، فرودگاه مهر‌آباد,سفید,دنده‌ای,58000000.0,180000.0,1393
بدون رنگ,سمند LX,تهران، اندیشه,سفید,دنده‌ای,78000000.0,20000.0,1396
یک لکه رنگ,سمند LX,تهران، شهر قدس,سرمه‌ای,دنده‌ای,69000000.0,170000.0,1393
بدون رنگ,سمند LX EF7 گازسوز,تهران، ورامین,سفید صدفی,دنده‌ای,62000000.0,210.0,1390
بدون رنگ,سمند LX EF7 بنزینی,تهران، دهکده المپیک,سفید,دنده‌ای,76000000.0,100.0,1395
بدون رنگ,سمند LX,تهران، جنت‌‌آباد مرکزی,سفید,دنده‌ای,65000000.0,200000.0,1391
بدون رنگ,سمند LX ساده,تهران، مسعودیه,سفید,دنده‌ای,67000000.0,86000.0,1394
بدون رنگ,سمند LX,تهران، شهریار,سفید,دنده‌ای,65000000.0,130000.0,1393
دو لکه رنگ,سمند LX EF7 گازسوز,تهران، شهرک گلستان,خاکستری,دنده‌ای,60000000.0,180000.0,1393
چند لکه رنگ,سمند LX ساده,تهران، قیطریه,نقره‌ای,دنده‌ای,36000000.0,270000.0,1386
بدون رنگ,سمند LX EF7 بنزینی,تهران، سعادت‌آباد,سفید,دنده‌ای,78500000.0,77000.0,1396
یک لکه رنگ,سمند LX,تهران، شهرک ولیعصر,سفید,دنده‌ای,60000000.0,160000.0,1390
چند لکه رنگ,سمند LX,تهران، استاد معین,سفید,دنده‌ای,42000000.0,224000.0,1389
بدون رنگ,سمند LX EF7 بنزینی,تهران، چهارصد دستگاه,سفید,دنده‌ای,83200000.0,18000.0,1396
بدون رنگ,سمند LX,تهران، صادقیه,سفید,دنده‌ای,88500000.0,27300.0,1397
دو لکه رنگ,سمند LX,تهران، شهر ری,سفید,دنده‌ای,58000000.0,172000.0,1393
چند لکه رنگ,سمند LX ساده,تهران،  اسکندری,خاکستری,دنده‌ای,52000000.0,200000.0,1391
بدون رنگ,سمند LX EF7 بنزینی,تهران، میرداماد,سفید,دنده‌ای,55000000.0,190000.0,1391
بدون رنگ,سمند LX EF7 بنزینی,تهران، آذری,سفید,دنده‌ای,71500000.0,97000.0,1393
بدون رنگ,سمند LX ساده,تهران، میدان آزادی,مشکی,دنده‌ای,82000000.0,0.0,1398
چند لکه رنگ,سمند LX ساده,تهران، شهریار,نقره‌ای,دنده‌ای,38000000.0,270000.0,1388
بدون رنگ,سمند LX,تهران، پاکدشت,کرم,دنده‌ای,88500000.0,0.0,1398
چند لکه رنگ,سمند LX ساده,تهران، شهر ری,سفید,دنده‌ای,51500000.0,50000.0,1392
بدون رنگ,سمند LX EF7 بنزینی,تهران، اکباتان,سفید,دنده‌ای,75000000.0,92000.0,1395
چند لکه رنگ,سمند LX ساده,تهران، مبارک‌آباد,مشکی,دنده‌ای,45000000.0,215000.0,1391
چند لکه رنگ,سمند LX ساده,تهران، شادآباد,خاکستری,دنده‌ای,30500000.0,250.0,1384
بدون رنگ,سمند LX EF7 بنزینی,تهران، اندیشه,سرمه‌ای,دنده‌ای,58000000.0,145000.0,1390
بدون رنگ,سمند LX EF7 بنزینی,تهران، شاهین,سفید,دنده‌ای,90750000.0,11600.0,1397
دو لکه رنگ,سمند LX ساده,تهران، شهریار,خاکستری,دنده‌ای,65000000.0,140.0,1395
بدون رنگ,سمند LX EF7 بنزینی,تهران، مهرآباد جنوبی,سفید,دنده‌ای,100000000.0,20.0,1398
بدون رنگ,سمند LX,تهران، فاطمی,سفید,دنده‌ای,83200000.0,4000.0,1398
بدون رنگ,سمند LX ساده,تهران، ورامین,آبی,دنده‌ای,61500000.0,82000.0,1392
بدون رنگ,سمند LX EF7 بنزینی,تهران، شمس‌آباد,سفید,دنده‌ای,101000000.0,0.0,1398
چند لکه رنگ,سمند LX ساده,تهران، پاکدشت,نقره‌ای,دنده‌ای,37500000.0,340000.0,1386
چند لکه رنگ,سمند LX EF7 بنزینی,تهران، بهارستان,سفید,دنده‌ای,72000000.0,108.0,1395
بدون رنگ,سمند LX,تهران، مرزداران,سفید,دنده‌ای,40000000.0,1.0,1398
بدون رنگ,سمند LX EF7 بنزینی,تهران، خانی‌آباد,سفید,دنده‌ای,89000000.0,30000.0,1397
یک لکه رنگ,سمند LX ساده,تهران، تهران‌نو,سفید,دنده‌ای,72500000.0,38000.0,1395
یک لکه رنگ,سمند LX,تهران، سعادت‌آباد,سفید صدفی,دنده‌ای,67000000.0,93000.0,1394
دو لکه رنگ,سمند LX,تهران، زهتابی,سفید,دنده‌ای,54000000.0,125000.0,1392
بدون رنگ,سمند LX,تهران، رودهن,خاکستری,دنده‌ای,87000000.0,27000.0,1396
بدون رنگ,سمند LX,تهران، دهکده المپیک,خاکستری,دنده‌ای,74000000.0,70000.0,1396
بدون رنگ,سمند LX,تهران، تهرانپارس شرقی,سفید,دنده‌ای,75000000.0,66000.0,1395
دو لکه رنگ,سمند LX ساده,تهران، استاد معین,سفید,دنده‌ای,59800000.0,66000.0,1395
بدون رنگ,سمند LX,تهران، امام حسین(ع),سفید,دنده‌ای,86800000.0,0.0,1398
بدون رنگ,سمند LX,تهران، پرند,سفید,دنده‌ای,100000000.0,0.0,1398
بدون رنگ,سمند LX,تهران، اندیشه,سفید,دنده‌ای,78000000.0,20000.0,1396
بدون رنگ,سمند LX,تهران، تهرانپارس غربی,سفید,دنده‌ای,72000000.0,28700.0,1395
دو لکه رنگ,سمند LX,تهران، تهران‌سر,نوک‌مدادی,دنده‌ای,48000000.0,260000.0,1390
چند لکه رنگ,سمند LX ساده,تهران، شریف‌آباد,خاکستری,دنده‌ای,36000000.0,263000.0,1386
بدون رنگ,سمند LX ساده,تهران، يافت‌آباد,سفید,دنده‌ای,77000000.0,35000.0,1397
دو لکه رنگ,سمند LX ساده,تهران، تهرانپارس شرقی,سفید,دنده‌ای,51000000.0,200000.0,1390
بدون رنگ,سمند LX EF7 گازسوز,تهران، پیروزی,سفید,دنده‌ای,60000000.0,0.0,1398
بدون رنگ,سمند LX EF7 بنزینی,تهران، نظام‌آباد,سفید,دنده‌ای,71000000.0,160000.0,1395
بدون رنگ,سمند LX ساده,تهران، تهرانپارس شرقی,خاکستری,دنده‌ای,69000000.0,85000.0,1395
بدون رنگ,سمند LX EF7 بنزینی,تهران، شهرک گلستان غربی,سفید,دنده‌ای,86000000.0,38000.0,1397
بدون رنگ,سمند LX EF7 بنزینی,تهران، صادقیه,سفید,دنده‌ای,87000000.0,50000.0,1397
بدون رنگ,سمند LX ساده,تهران، رباط کریم,نقره‌ای,دنده‌ای,29000000.0,321123.0,1382
بدون رنگ,سمند LX EF7 بنزینی,تهران، چیتگر شمالی,مشکی,دنده‌ای,85000000.0,43000.0,1395
بدون رنگ,سمند LX EF7 بنزینی,تهران، صادقیه,سفید,دنده‌ای,90000000.0,52000.0,1397
بدون رنگ,سمند LX EF7 گازسوز,تهران، میدان آزادی,سفید,دنده‌ای,35000000.0,0.0,1398
